Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
New Hampshire,2006,-25,426,-757,113,584,-151,1631,-87,-170,1010,-573,-440,-471,16,1,-47,12,-57,627,-2134,-1202,6400,-95,128,427,285,222,0,-19,0,-230,-109,-228,-676,0,-339,-127,-459,22,-984,-1008,563,-172,-437,29,-458,-597,1007,-153,-122,335
New Jersey,2006,-377,226,-1329,-1435,-933,-757,-2193,-2915,357,-26327,-6088,-265,643,-418,-131,770,-895,25,841,-738,-4906,-791,-1373,159,-320,-1064,-500,367,-1503,230,0,-421,17679,-12295,99,-3572,250,-91,-18747,-958,-5327,-113,-421,-7609,-243,-221,-4035,-832,-835,-332,84
New Mexico,2006,896,1052,-410,-1158,3381,-1140,19,113,188,1600,1020,-121,75,1438,-61,-529,-870,633,307,54,57,307,341,331,253,-1098,-515,757,-638,109,421,0,245,-1185,1320,224,-990,-422,433,0,125,33,-261,-1839,1176,274,52,876,142,121,-384
New York,2006,-2920,1704,-3367,-1215,-8577,-1547,-8399,203,-889,-56767,-19505,-1414,-176,-413,-1548,-290,-1915,-1782,634,199,-6545,-1766,-1530,-556,-1188,-1528,-479,-311,-1285,228,-17679,-245,0,-34169,-410,-1901,-968,-1027,-21262,-3355,-6062,67,-978,-10144,-917,-460,-6681,-4289,-750,-907,198
North Carolina,2006,-1429,31,430,152,6712,-1078,2464,-171,1346,17197,-1026,1022,1354,2465,102,-76,-1268,-2380,4041,509,9456,1755,3011,222,-14,86,-200,152,411,676,12295,1185,34169,0,827,2056,1281,910,9915,870,2189,208,-2943,1999,1092,744,6618,-504,1865,1358,592
North Dakota,2006,-249,147,-58,-88,-474,695,54,0,0,114,-30,107,101,-88,-139,-149,-25,175,96,-30,20,-60,546,1602,552,78,361,-339,-32,0,-99,-1320,410,-827,0,-436,368,279,585,0,-22,-539,589,186,-208,0,116,-713,0,-397,246
Ohio,2006,-2701,189,-3330,-446,-2067,-2856,-957,1851,-507,1593,-1478,-568,-315,1164,-2641,-861,-1563,-1001,2294,-1523,773,2463,3176,-965,-40,-1597,-715,165,-1576,339,3572,-224,1901,-2056,436,0,-325,-1930,-2127,110,-363,-492,-1935,-7938,1135,-200,-2650,-2456,-3091,-799,-413
Oklahoma,2006,-1244,1063,1795,-521,922,-1052,178,11,-154,1881,-1790,66,-154,1174,184,1156,2300,-239,1667,-14,1967,-186,172,763,217,119,637,1318,945,127,-250,990,968,-1281,-368,325,0,-657,74,0,-1360,-62,553,964,75,-124,-481,57,-304,101,267
Oregon,2006,-71,-1155,854,-66,25921,291,-172,-54,590,1593,881,1782,-2940,-310,-130,-1288,-59,382,1085,-39,34,-27,951,1995,-324,-122,549,290,2824,459,91,422,1027,-910,-279,1930,657,0,1152,7,94,-847,-61,1057,-272,135,-674,-4675,-166,723,82
Pennsylvania,2006,133,1047,-3218,518,-958,-1908,1283,-1648,-1073,-2170,-4432,-1714,-411,-1009,838,214,-130,-243,116,225,8498,1301,455,-475,448,-125,-235,347,-589,-22,18747,-433,21262,-9915,-585,2127,-74,-1152,0,172,-1958,121,-959,846,-622,368,-2901,1291,-1089,500,-268
Rhode Island,2006,98,-100,-14,0,160,-394,-987,-332,-107,-831,-414,-162,-6,-146,346,75,225,-100,249,-438,-86,106,-70,-392,-156,0,0,-95,-36,984,958,0,3355,-870,0,-110,0,-7,-172,0,-1222,0,-122,80,33,-79,-1091,-222,0,-297,0
South Carolina,2006,3100,1256,461,-745,670,337,741,226,419,7614,1224,1169,425,1480,1541,274,-799,910,598,568,1564,221,1350,899,180,-187,87,248,480,1008,5327,-125,6062,-2189,22,363,1360,-94,1958,1222,0,61,3601,-558,-1067,-68,-1310,-213,350,958,-920
South Dakota,2006,-53,116,-1607,190,1169,1057,-16,0,0,-179,-389,137,-777,275,237,430,-721,181,402,-41,2,-54,588,-376,-60,-84,-811,327,75,-563,113,-33,-67,-208,539,492,62,847,-121,0,-61,0,-30,-1128,70,0,-176,-231,0,-138,-102
Tennessee,2006,-803,374,1311,-3264,4252,894,220,-116,338,16127,-869,-432,182,173,2321,348,-890,-1660,5671,248,1242,-22,-181,-487,654,692,361,-451,1067,172,421,261,978,2943,-589,1935,-553,61,959,122,-3601,30,0,5016,-745,-75,-1834,1026,-326,213,-114
Texas,2006,279,2548,1511,-297,32545,1920,-998,-69,-1006,9164,508,3778,-2987,9701,2060,-1362,2281,-901,88075,-1292,-2139,2475,275,4508,7633,784,662,1090,734,437,7609,1839,10144,-1999,-186,7938,-964,-1057,-846,-80,558,1128,-5016,0,-3207,-509,-1963,-4525,244,387,-312
Utah,2006,-664,-878,-232,-278,15268,-1229,-57,-70,-201,561,55,821,3116,907,-1787,-729,-1165,642,774,374,-1141,512,918,105,-97,-592,590,-241,-1284,-29,243,-1176,917,-1092,208,-1135,-75,272,622,-33,1067,-70,745,3207,0,546,713,-708,31,31,1026
Vermont,2006,-334,0,139,-87,-1104,449,601,0,398,-122,-96,50,18,-511,-62,0,-22,-73,0,1055,746,660,-400,-206,225,-37,-80,0,-263,458,221,-274,460,-744,0,200,124,-135,-368,79,68,0,75,509,-546,0,801,-19,-29,186,51
Virginia,2006,1063,2791,-294,-96,4087,-1231,2236,100,4081,-1337,-5260,57,-141,6582,1179,-915,-68,-568,4651,-42,-574,1262,2306,37,284,1395,-136,580,-1198,597,4035,-52,6681,-6618,-116,2650,481,674,2901,1091,1310,176,1834,1963,-713,-801,0,-1370,-1727,-782,-89
Washington,2006,-982,-689,-1895,-163,18929,-152,946,-95,-327,1990,-692,1491,-892,2467,131,34,1568,-284,2239,381,1013,149,1992,2352,-100,1264,-2387,137,-25,-1007,832,-876,4289,504,713,2456,-57,4675,-1291,222,213,231,-1026,4525,708,19,1370,0,-724,-119,-377
West Virginia,2006,839,780,-36,-709,492,37,247,132,122,-144,-1952,49,-40,14,-601,-133,-138,-630,357,-95,2423,-195,523,51,505,180,-70,-377,229,153,835,-142,750,-1865,0,3091,304,166,1089,0,-350,0,326,-244,-31,29,1727,724,0,43,0
Wisconsin,2006,290,-439,-2036,1814,-5848,-132,430,0,46,-2839,-2279,-233,-255,4050,-2225,-1176,17,-55,791,132,-316,-621,1503,1998,-1331,-473,-605,-336,-791,122,332,-121,907,-1358,397,799,-101,-723,-500,297,-958,138,-213,-387,-31,-186,782,119,-43,0,-924
Wyoming,2006,-379,-163,-526,314,-539,-169,33,0,98,301,-365,-101,-827,360,287,-432,-253,-78,-155,-74,379,-105,581,2,174,111,-1400,-577,-12,-335,-84,384,-198,-592,-246,413,-267,-82,268,0,920,102,114,312,-1026,-51,89,377,0,924,0
Alabama,2007,0,102,-673,-485,2116,-977,309,-185,-453,5145,8520,-235,-30,-209,2299,-268,-620,982,-464,-164,451,254,2256,224,63,-520,-181,290,-614,37,2098,313,3644,1051,0,1315,118,-738,1130,139,-489,-135,-1985,915,-693,-57,102,534,46,288,265
Alaska,2007,-102,0,326,-24,-1523,-134,-80,-60,0,-5265,-424,531,-525,-379,48,-507,137,-205,43,-419,789,-1164,-1162,-793,99,-98,-727,-6,-270,0,-62,72,-2771,-575,160,-797,-1177,-1289,-513,-158,353,-18,927,-3779,-734,-36,-1656,-2573,-507,428,-47
Arizona,2007,673,-326,0,502,32055,-197,325,47,317,1821,-225,841,-2791,5600,2332,-129,1443,-293,649,195,23,3801,8661,5034,-657,2727,257,-1657,3413,78,3788,-681,2810,190,603,3470,-1363,127,-635,31,400,-285,-333,-2112,74,99,161,1613,450,1477,-1004
Arkansas,2007,485,24,-502,0,3041,-1113,289,0,-502,1040,-1262,144,183,-2045,609,-458,-510,-112,870,0,775,115,694,-38,-6,-1294,-387,-126,1713,1091,117,1028,588,-1259,-3,544,-1699,-175,-2089,0,281,-133,1441,1599,1343,-110,-1252,891,222,1083,333
California,2007,-2116,1523,-32055,-3041,0,-5626,2554,110,-2325,7891,-7955,3792,-5094,10046,-228,-1527,-2942,-1725,-2571,-1788,2173,2492,6774,3868,1783,-4544,-2900,-1405,-23759,-310,4512,-3787,3411,-3343,-1098,-1915,-11493,-18896,522,369,-4308,-857,-3249,-41919,-9827,-1308,-2471,-18912,-721,488,-1797
Colorado,2007,977,134,197,1113,5626,0,2114,-272,76,-2372,740,1187,-1565,1857,449,-428,2092,171,1381,459,2100,1969,-1038,-995,-1098,2185,-518,1615,987,148,1219,-823,543,-586,-342,2711,-1697,2071,748,1295,-910,152,-761,5041,-537,-92,-1817,-3774,-160,1542,-1156
Connecticut,2007,-309,80,-325,-289,-2554,-2114,0,-391,-999,-5959,-2728,85,265,599,375,508,-97,-1353,31,-123,1293,-2273,-1925,75,-232,-1104,-127,17,258,-1709,1911,0,11598,-2039,65,-130,71,-249,-2616,-469,-2191,13,-195,-745,297,-728,-2805,-762,-213,-261,0
Delaware,2007,185,60,-47,0,-110,272,391,0,-301,156,-1019,0,0,-276,96,-72,237,-333,171,-122,-899,1005,743,79,406,-62,0,0,507,20,4967,128,3142,-1733,0,-30,210,-55,2556,188,-136,0,-444,1026,-83,16,-129,-204,-242,-210,50
District of Columbia ,2007,453,0,-317,502,2325,-76,999,301,0,986,-1423,-100,47,-140,-325,-192,-87,-113,-34,18,-6672,687,381,-102,-1008,-281,100,102,-79,-188,677,-11,-1526,-3299,0,633,-48,131,753,38,-2126,0,-513,62,-69,114,-2774,-442,-85,73,-66
Florida,2007,-5145,5265,-1821,-1040,-7891,2372,5959,-156,-986,0,-45346,-636,-1044,3523,3415,-1070,-1207,-1033,-1947,3039,2364,13295,9986,-344,850,-3361,270,-21,-1215,-60,11780,-1826,28361,-29705,-155,7321,43,496,12104,827,-10296,-374,-16449,-13740,-3485,-214,-891,-848,404,2041,271
Georgia,2007,-8520,424,225,1262,7955,-740,2728,1019,1423,45346,0,736,-30,-651,2531,-317,-43,-1351,2310,-484,806,1788,2623,-2111,-176,-418,-445,-114,-197,-92,6036,889,15665,-2829,-229,754,-653,824,3121,-9,-2572,-424,-4297,1031,1444,242,2015,-2132,428,896,67
Hawaii,2007,235,-531,-841,-144,-3792,-1187,-85,0,100,636,-736,0,-617,39,-186,-569,445,-1477,-408,-190,-606,-417,709,636,-79,-436,335,-537,-237,3,-101,-97,673,-1461,-41,775,-211,1070,-542,207,-1068,-51,-70,-1319,-426,244,-1418,-681,25,137,-203
Idaho,2007,30,525,2791,-183,5094,1565,-265,0,-47,1044,30,617,0,773,234,203,403,216,-206,-48,148,133,276,1368,-150,205,-473,-310,1812,133,76,1081,-587,116,242,513,400,-2260,250,153,-291,149,-26,721,-1564,-86,-973,2465,238,192,758
Illinois,2007,209,379,-5600,2045,-10046,-1857,-599,276,140,-3523,651,-39,-773,0,-14770,-4265,-934,-378,-337,-169,-1118,589,3425,-2125,-534,-5368,-5,492,-1997,-477,1474,-466,912,618,-65,-3705,-624,-373,1146,1223,-2933,468,-2154,-8378,-233,-463,-1072,-223,-199,-3483,-265
Indiana,2007,-2299,-48,-2332,-609,228,-449,-375,-96,325,-3415,-2531,186,-234,14770,0,-1545,663,-1909,-791,-310,503,-1066,2510,-205,-624,963,-120,-150,269,78,162,345,1157,-2338,-51,492,-1834,-395,-437,368,-187,96,510,-4551,-529,0,1254,-131,178,2565,730
Iowa,2007,268,507,129,458,1527,428,-508,72,192,1070,317,569,-203,4265,1545,0,-1150,-43,256,0,613,114,1377,1453,915,-566,134,-246,-800,-205,-53,79,376,461,370,-219,478,645,127,-81,-600,-528,498,-2282,-791,136,192,-1365,412,1668,94
Kansas,2007,620,-137,-1443,510,2942,-2092,97,-237,87,1207,43,-445,-403,934,-663,1150,0,1613,-928,-38,224,458,-430,-138,-605,-2382,-43,-279,1354,-83,-633,1181,-260,-2220,-68,65,-343,-1384,-217,98,-222,-93,500,-2264,-988,113,175,-128,-253,-522,519
Kentucky,2007,-982,205,293,112,1725,-171,1353,333,113,1033,1351,1477,-216,378,1909,43,-1613,0,-656,267,-203,177,3252,-2635,41,2824,-497,755,587,115,216,564,568,1011,238,4843,2165,214,-1688,-214,-803,-60,993,277,-764,385,43,-335,-915,2058,-402
Louisiana,2007,464,-43,-649,-870,2571,-1381,-31,-171,34,1947,-2310,408,206,337,791,-256,928,656,0,-267,61,1024,-246,846,4229,191,-17,-141,892,0,-244,-62,-63,-1731,219,759,448,580,-453,-253,-104,-260,-723,471,249,-66,2025,317,-160,530,-122
Maine,2007,164,419,-195,0,1788,-459,123,122,-18,-3039,484,190,48,169,310,0,38,-267,267,0,-430,759,339,63,-113,-362,302,426,-13,-239,295,-414,-453,-975,0,418,-107,-267,-1102,689,-79,0,-197,-706,-284,-57,1021,286,396,436,-416
Maryland,2007,-451,-789,-23,-775,-2173,-2100,-1293,899,6672,-2364,-806,606,-148,1118,-503,-613,-224,203,-61,430,0,-713,113,284,78,677,-158,-50,-965,-63,781,-429,-690,-8148,185,-514,-627,3,-6481,-119,-4008,55,-1035,-3397,651,-133,-9991,-110,-4438,-609,-93
Massachusetts,2007,-254,1164,-3801,-115,-2492,-1969,2273,-1005,-687,-13295,-1788,417,-133,-589,1066,-114,-458,-177,-1024,-759,713,0,-1196,-655,517,204,-9,42,-265,-6746,2145,-189,3461,-3524,-44,227,-569,-1539,-14,-417,-2310,392,-1311,-2404,-95,-1771,-2965,71,22,-120,-140
Michigan,2007,-2256,1162,-8661,-694,-6774,1038,1925,-743,-381,-9986,-2623,-709,-276,-3425,-2510,-1377,430,-3252,246,-339,-113,1196,0,58,-2021,-77,-205,-385,-5133,-26,35,575,722,-8387,600,-1070,287,-1852,-1327,-215,-3389,-56,-2347,-8956,-359,374,-1089,-1911,-613,-3335,-207
Minnesota,2007,-224,793,-5034,38,-3868,995,-75,-79,102,344,2111,-636,-1368,2125,205,-1453,138,2635,-846,-63,-284,655,-58,0,665,279,430,127,-747,0,28,-744,338,-1210,-1626,-621,84,-63,-980,-1,-89,1163,291,-5468,-314,168,-887,4,9,771,-8
Mississippi,2007,-63,-99,657,6,-1783,1098,232,-406,1008,-850,176,79,150,534,624,-915,605,-41,-4229,113,-78,-517,2021,-665,0,-265,-191,-648,-119,131,121,-305,1451,571,-44,-238,-608,251,112,0,-1336,-341,3159,-1736,-1075,55,-24,-651,441,-287,-822
Missouri,2007,520,98,-2727,1294,4544,-2185,1104,62,281,3361,418,436,-205,5368,-963,566,2382,-2824,-191,362,-677,-204,77,-279,265,0,-636,-288,-221,-274,1297,254,1733,-405,-21,138,-1955,-168,1174,-39,-985,150,2004,-4173,478,168,2454,286,-696,-492,111
Montana,2007,181,727,-257,387,2900,518,127,0,-100,-270,445,-335,473,5,120,-134,43,497,17,-302,158,9,205,-430,191,636,0,-299,646,118,579,228,242,-540,785,346,-555,-361,-5,130,-160,120,612,-399,-704,-140,-237,-672,0,317,122
Nebraska,2007,-290,6,1657,126,1405,-1615,-17,0,-102,21,114,537,310,-492,150,246,279,-755,141,-426,50,-42,385,-127,648,288,299,0,285,140,-88,-87,-1009,-238,-314,-621,767,353,-1778,337,-158,-1368,92,-1124,-654,43,-998,601,59,1096,114
Nevada,2007,614,270,-3413,-1713,23759,-987,-258,-507,79,1215,197,237,-1812,1997,-269,800,-1354,-587,-892,13,965,265,5133,747,119,221,-646,-285,0,-179,385,-73,2529,-167,-210,687,-415,-539,-455,12,-1074,-617,98,893,-4099,0,-937,-2534,-97,-52,198
New Hampshire,2007,-37,0,-78,-1091,310,-148,1709,-20,188,60,92,-3,-133,477,-78,205,83,-115,0,239,63,6746,26,0,-131,274,-118,-140,179,0,-296,-155,-753,-1877,0,36,0,88,-572,122,-351,21,-251,-1965,-15,1505,875,-32,-59,-326,0
New Jersey,2007,-2098,62,-3788,-117,-4512,-1219,-1911,-4967,-677,-11780,-6036,101,-76,-1474,-162,53,633,-216,244,-295,-781,-2145,-35,-28,-121,-1297,-579,88,-385,296,0,-301,19306,-9032,-26,-1230,-115,-304,-16476,-2213,-4437,120,-1208,-5263,-530,-100,-3278,1143,-745,-62,0
New Mexico,2007,-313,-72,681,-1028,3787,823,0,-128,11,1826,-889,97,-1081,466,-345,-79,-1181,-564,62,414,429,189,-575,744,305,-254,-228,87,73,155,301,0,-555,342,133,394,-2969,-536,897,-127,242,-983,-177,-2984,63,-229,-55,-432,-153,391,-335
New York,2007,-3644,2771,-2810,-588,-3411,-543,-11598,-3142,1526,-28361,-15665,-673,587,-912,-1157,-376,260,-568,63,453,690,-3461,-722,-338,-1451,-1733,-242,1009,-2529,753,-19306,555,0,-17738,-202,-256,-1137,610,-24878,-2416,-6858,-103,-2819,-11143,-962,1412,-8965,-469,-901,176,-205
North Carolina,2007,-1051,575,-190,1259,3343,586,2039,1733,3299,29705,2829,1461,-116,-618,2338,-461,2220,-1011,1731,975,8148,3524,8387,1210,-571,405,540,238,167,1877,9032,-342,17738,0,503,6618,-587,626,6164,523,-5956,-841,-903,538,1057,1156,8583,-675,2133,131,-364
North Dakota,2007,0,-160,-603,3,1098,342,-65,0,0,155,229,41,-242,65,51,-370,68,-238,-219,0,-185,44,-600,1626,44,21,-785,314,210,0,26,-133,202,-503,0,-574,-159,151,-225,0,-66,385,82,1048,173,-16,307,57,-83,-63,-111
Ohio,2007,-1315,797,-3470,-544,1915,-2711,130,30,-633,-7321,-754,-775,-513,3705,-492,219,-65,-4843,-759,-418,514,-227,1070,621,238,-138,-346,621,-687,-36,1230,-394,256,-6618,574,0,-1875,1162,2479,-560,-1775,-334,-46,-2958,-1545,671,-595,-488,-465,1312,83
Oklahoma,2007,-118,1177,1363,1699,11493,1697,-71,-210,48,-43,653,211,-400,624,1834,-478,343,-2165,-448,107,627,569,-287,-84,608,1955,555,-767,415,0,115,2969,1137,587,159,1875,0,-626,677,0,126,275,344,-137,840,375,253,649,-33,384,-123
Oregon,2007,738,1289,-127,175,18896,-2071,249,55,-131,-496,-824,-1070,2260,373,395,-645,1384,-214,-580,267,-3,1539,1852,63,-251,168,361,-353,539,-88,304,536,-610,-626,-151,-1162,626,0,1063,18,-1636,28,1241,-1401,178,79,1336,-5705,-93,-98,675
Pennsylvania,2007,-1130,513,635,2089,-522,-748,2616,-2556,-753,-12104,-3121,542,-250,-1146,437,-127,217,1688,453,1102,6481,14,1327,980,-112,-1174,5,1778,455,572,16476,-897,24878,-6164,225,-2479,-677,-1063,0,-265,-894,50,-836,-1996,141,-857,-3901,-1291,261,-802,339
Rhode Island,2007,-139,158,-31,0,-369,-1295,469,-188,-38,-827,9,-207,-153,-1223,-368,81,-98,214,253,-689,119,417,215,1,0,39,-130,-337,-12,-122,2213,127,2416,-523,0,560,0,-18,265,0,334,11,-111,-1471,-126,336,-264,-1439,-413,-9,0
South Carolina,2007,489,-353,-400,-281,4308,910,2191,136,2126,10296,2572,1068,291,2933,187,600,222,803,104,79,4008,2310,3389,89,1336,985,160,158,1074,351,4437,-242,6858,5956,66,1775,-126,1636,894,-334,0,517,1681,3208,85,-8,1544,-131,1491,626,232
South Dakota,2007,135,18,285,133,857,-152,-13,0,0,374,424,51,-149,-468,-96,528,93,60,260,0,-55,-392,56,-1163,341,-150,-120,1368,617,-21,-120,983,103,841,-385,334,-275,-28,-50,-11,-517,0,-192,-911,-99,0,8,519,0,592,333
Tennessee,2007,1985,-927,333,-1441,3249,761,195,444,513,16449,4297,70,26,2154,-510,-498,-500,-993,723,197,1035,1311,2347,-291,-3159,-2004,-612,-92,-98,251,1208,177,2819,903,-82,46,-344,-1241,836,111,-1681,192,0,-1493,-1183,483,-1983,-66,-474,1182,-562
Texas,2007,-915,3779,2112,-1599,41919,-5041,745,-1026,-62,13740,-1031,1319,-721,8378,4551,2282,2264,-277,-471,706,3397,2404,8956,5468,1736,4173,399,1124,-893,1965,5263,2984,11143,-538,-1048,2958,137,1401,1996,1471,-3208,911,1493,0,-656,-224,1637,1819,-172,3483,1380
Utah,2007,693,734,-74,-1343,9827,537,-297,83,69,3485,-1444,426,1564,233,529,791,988,764,-249,284,-651,95,359,314,1075,-478,704,654,4099,15,530,-63,962,-1057,-173,1545,-840,-178,-141,126,-85,99,1183,656,0,209,-158,3853,592,1219,-879
Vermont,2007,57,36,-99,110,1308,92,728,-16,-114,214,-242,-244,86,463,0,-136,-113,-385,66,57,133,1771,-374,-168,-55,-168,140,-43,0,-1505,100,229,-1412,-1156,16,-671,-375,-79,857,-336,8,0,-483,224,-209,0,-88,-68,-219,14,84
Virginia,2007,-102,1656,-161,1252,2471,1817,2805,129,2774,891,-2015,1418,973,1072,-1254,-192,-175,-43,-2025,-1021,9991,2965,1089,887,24,-2454,237,998,937,-875,3278,55,8965,-8583,-307,595,-253,-1336,3901,264,-1544,-8,1983,-1637,158,88,0,-610,-1894,-1748,484
Washington,2007,-534,2573,-1613,-891,18912,3774,762,204,442,848,2132,681,-2465,223,131,1365,128,335,-317,-286,110,-71,1911,-4,651,-286,672,-601,2534,32,-1143,432,469,675,-57,488,-649,5705,1291,1439,131,-519,66,-1819,-3853,68,610,0,-322,2450,-831
West Virginia,2007,-46,507,-450,-222,721,160,213,242,85,-404,-428,-25,-238,199,-178,-412,253,915,160,-396,4438,-22,613,-9,-441,696,0,-59,97,59,745,153,901,-2133,83,465,33,93,-261,413,-1491,0,474,172,-592,219,1894,322,0,21,0
Wisconsin,2007,-288,-428,-1477,-1083,-488,-1542,261,210,-73,-2041,-896,-137,-192,3483,-2565,-1668,522,-2058,-530,-436,609,120,3335,-771,287,492,-317,-1096,52,326,62,-391,-176,-131,63,-1312,-384,98,802,9,-626,-592,-1182,-3483,-1219,-14,1748,-2450,-21,0,643
Wyoming,2007,-265,47,1004,-333,1797,1156,0,-50,66,-271,-67,203,-758,265,-730,-94,-519,402,122,416,93,140,207,8,822,-111,-122,-114,-198,0,0,335,205,364,111,-83,123,-675,-339,0,-232,-333,562,-1380,879,-84,-484,831,0,-643,0
Alabama,2008,0,1520,-132,-668,2094,-276,291,1539,-103,7002,1538,478,11,460,1958,-66,-1152,536,2198,-381,-927,-506,2122,137,1784,401,192,129,-1469,76,281,241,2319,-2130,0,23,-528,-676,704,0,135,-267,1928,57,222,0,-1227,-95,-163,967,-368
Alaska,2008,-1520,0,-1079,237,-954,-2046,-1844,-122,-62,-9384,-1843,371,-220,-1237,-237,-345,-247,-223,140,-71,-1791,-509,-1129,38,-156,84,-528,-539,-444,-750,-2066,66,-2466,-709,152,-2213,21,72,100,-119,700,222,-1783,-5420,-1628,-252,-4,-1529,-778,-1248,123
Arizona,2008,132,1079,0,-1583,13147,-2251,228,333,-274,5765,-924,-473,989,2360,-219,668,-1949,2196,117,475,-4,2081,6723,7262,14,2045,454,477,2688,-1280,-1033,-3542,4965,2504,1204,5132,-1712,4476,3400,1026,588,39,946,-4125,-4222,18,-925,1882,297,1464,977
Arkansas,2008,668,-237,1583,0,1947,23,0,0,-35,-420,-1108,-941,-307,2082,-307,-2246,-248,-615,-1136,76,-116,-78,1518,1460,1597,-718,-870,885,314,26,-216,324,39,-118,-119,308,-1086,530,246,-233,314,34,99,6210,-398,0,1545,140,458,95,-403
California,2008,-2094,954,-13147,-1947,0,-9888,1581,-895,722,4795,-5953,-1766,-4159,889,-3414,-139,-1787,-852,-1824,-29,1839,-91,4970,-868,-162,669,-2397,-2150,-11495,-342,2635,-3573,10198,-5246,-272,1391,-5108,-13128,2329,-255,-1267,-336,-3338,-31851,-8630,-170,-857,-11402,404,87,-124
Colorado,2008,276,2046,2251,-23,9888,0,-300,-204,-299,1958,1743,588,1344,385,407,972,-641,546,-208,-403,-182,467,1459,1174,370,-1490,361,-605,2839,246,2342,2355,-484,-2061,1141,759,42,978,1904,76,1886,-1029,-575,653,-398,-401,381,-2684,-90,764,94
Connecticut,2008,-291,1844,-228,0,-1581,300,0,-453,-652,-6485,746,-39,-79,-108,-747,-212,-309,89,-220,-657,-1344,75,-57,-22,-104,173,-127,15,-373,-1399,722,60,1867,-2498,-103,-1376,-342,9,-2247,128,-696,-47,-625,-1076,-537,516,-1349,167,36,1206,376
Delaware,2008,-1539,122,-333,0,895,204,453,0,-813,349,580,0,0,1069,547,-171,73,-250,-99,58,2037,1326,-54,51,50,-740,0,-43,63,232,1841,99,2166,-1005,758,-434,38,-209,599,-66,43,0,-18,-220,0,0,1887,550,-264,144,109
District of Columbia ,2008,103,62,274,35,-722,299,652,813,0,-450,-1539,355,79,-257,-148,79,364,-108,32,-203,-11255,316,80,-359,91,85,29,-286,-120,-80,823,-265,-915,-588,0,196,109,235,726,336,-448,-339,-31,-526,-71,0,-1495,-185,-338,197,0
Florida,2008,-7002,9384,-5765,420,-4795,-1958,6485,-349,450,0,-2832,-998,862,458,4498,-56,287,-5331,780,-428,1970,538,4902,321,-555,-2467,146,-1768,-2179,-2251,16476,-738,24034,-20409,-307,7707,-1866,-1292,3021,1016,-8762,1703,-12709,-15582,-2188,1258,194,-1872,782,1456,-635
Georgia,2008,-1538,1843,924,1108,5953,-1743,-746,-580,1539,2832,0,-472,162,4275,-360,901,117,92,2964,-437,211,2526,4988,458,183,-1389,-548,145,-1534,113,4493,-406,13282,-2829,301,1058,-1047,427,3230,-381,-2039,194,-3137,-1156,-536,341,-1188,-1664,508,955,71
Hawaii,2008,-478,-371,473,941,1766,-588,39,0,-355,998,472,0,504,-2559,-144,-49,-92,-499,-139,370,1729,-37,-152,675,-507,-480,151,-312,-1760,428,109,-422,-1284,1207,-354,76,842,-2657,1398,175,-255,137,104,-1677,-271,110,1308,101,42,171,251
Idaho,2008,-11,220,-989,307,4159,-1344,79,0,-79,-862,-162,-504,0,1223,-154,122,386,-16,229,0,140,424,108,854,19,-216,-1165,5,963,26,-53,707,450,103,389,-45,195,-1855,140,0,-188,223,-58,-2039,4036,252,-1121,28,0,-247,996
Illinois,2008,-460,1237,-2360,-2082,-889,-385,108,-1069,257,-458,-4275,2559,-1223,0,-11989,-2820,-344,-1620,-1118,564,57,-2046,3346,-2759,-1141,-6609,-677,-795,-3629,-171,-619,-1185,-993,-300,120,-2057,-763,-971,-3975,175,-2219,-469,-3516,-7201,-255,-88,-3794,129,452,-9558,-692
Indiana,2008,-1958,237,219,307,3414,-407,747,-547,148,-4498,360,144,154,11989,0,-927,-647,1395,721,19,1535,-335,7455,-581,407,890,115,232,-122,390,756,-288,1240,-2141,140,4659,-254,1353,2392,71,1022,-35,-1750,-2400,-257,-189,181,439,471,2134,-33
Iowa,2008,66,345,-668,2246,139,-972,212,171,-79,56,-901,49,-122,2820,927,0,-410,209,494,-73,-559,67,573,200,217,-609,-205,2104,164,0,97,-200,885,-1285,731,-1300,-1123,142,71,-90,-243,131,681,1425,1006,-310,846,-1173,0,-208,-472
Kansas,2008,1152,247,1949,248,1787,641,309,-73,-364,-287,-117,92,-386,344,647,410,0,-483,-1027,342,-451,644,1032,-1202,274,2458,-14,1498,335,0,-138,610,-785,514,-86,-177,258,-303,-411,0,758,213,608,-2449,515,190,1213,-554,205,828,-160
Kentucky,2008,-536,223,-2196,615,852,-546,-89,250,108,5331,-92,499,16,1620,-1395,-209,483,0,-204,119,1611,387,3639,125,-305,1174,-436,-83,102,-28,20,142,2059,-338,0,3419,-113,858,-174,0,-449,-7,-754,440,734,690,127,-1251,-1350,427,152
