Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Maine,2005,-24,247,-36,238,2016,214,1620,0,184,-1996,1043,31,35,18,-83,-20,0,297,-176,0,-388,-886,267,23,-253,-128,29,-75,-90,302,596,60,1347,-1,0,915,-38,-405,-512,-342,75,68,39,-492,-47,5,-978,-362,52,58,0
Maryland,2005,155,242,-1241,499,1654,-742,-840,-3283,11111,-11229,-317,483,-980,708,92,64,47,646,111,388,0,345,712,1390,54,410,0,697,1,296,542,1040,6099,-4992,10,-308,-1337,-884,-8449,79,-4798,-411,-798,513,399,-48,1292,645,-883,1040,58
Massachusetts,2005,-117,494,-1564,-1327,-3521,-1431,782,-193,-1937,-17532,-3705,-10,-307,-1593,818,-120,189,163,-54,886,-345,0,1124,265,4,53,374,-497,381,-6824,-34,157,-894,-4354,666,-586,-380,786,-1896,347,-3210,29,-1082,-987,190,-569,-1995,-2618,-352,-340,-60
Michigan,2005,-1561,1305,-6288,-240,-2442,1126,-268,-517,260,-12242,-3457,-630,-84,-1791,-1884,302,-446,-313,937,-267,-712,-1124,0,-2015,18,48,-617,-543,-768,44,-2000,20,-1588,1236,-521,-1229,-1698,1457,-405,60,-129,-328,-2608,-10869,-152,105,164,-3,6,-1207,6
Minnesota,2005,365,692,-2282,-224,2626,-289,853,-89,-210,-8191,-547,-249,93,4431,1257,2089,-470,-787,967,-23,-1390,-265,2015,0,-59,-166,-125,266,-1340,-23,-1840,-581,270,-188,1123,307,647,96,373,85,79,809,1247,-782,-595,-82,-1463,-517,396,241,296
Mississippi,2005,-5263,-1143,-794,-2363,2064,-214,-55,215,142,-1625,-890,-430,-81,-2386,-51,696,-299,-921,5873,253,-54,-4,-18,59,0,611,497,69,45,563,-181,-153,1513,-378,27,188,381,-147,-27,292,190,-65,-1672,-174,-53,0,-408,-747,-287,1431,-58
Missouri,2005,-860,107,1851,-1483,3451,-130,214,-105,31,-2054,-323,258,-883,1366,-893,327,454,-1037,2232,128,-410,-53,-48,166,-611,0,138,2054,1745,83,-491,-175,-309,-922,-220,1010,1928,49,-262,169,-830,418,700,-1163,-437,291,-1920,2334,367,425,-339
Montana,2005,299,301,-587,86,3440,-476,345,40,0,110,59,118,-1138,484,-40,290,332,-195,238,-29,0,-374,617,125,-497,-138,0,125,-595,-905,-38,314,-26,45,122,-10,541,-47,620,46,489,-158,82,-255,-426,-12,213,174,-165,615,-168
Nebraska,2005,-367,-57,-1526,-555,247,-2494,310,10,-186,812,-932,-314,-94,-627,1079,-1706,1180,950,244,75,-697,497,543,-266,-69,-2054,-125,0,203,0,279,155,583,65,117,-639,-16,-473,-453,0,-185,-139,479,784,834,0,-34,-278,65,-81,-177
Nevada,2005,-555,333,-4044,-97,27836,-1677,244,87,752,1006,-1527,369,-1877,-160,1042,-1878,-449,313,-103,90,-1,-381,768,1340,-45,-1745,595,-203,0,220,522,-421,2516,1243,20,1354,-329,1312,2372,-693,-150,-101,-660,2121,-709,85,-443,-57,-62,-654,-1044
New Hampshire,2005,-434,339,-415,0,257,-1481,-377,0,-66,-5961,505,235,0,-97,185,-1195,151,203,182,-302,-296,6824,-44,23,-563,-83,905,0,-220,0,344,740,639,-1088,0,514,81,191,-444,-156,667,0,27,1159,-412,-494,361,-330,0,-49,176
New Jersey,2005,-584,791,-2772,-446,-4007,404,1209,-1423,-153,-19994,-2365,-1539,-287,1324,-891,-51,-328,-482,1048,-596,-542,34,2000,1840,181,491,38,-279,-522,-344,0,-52,37524,-9096,139,-396,-65,214,-11756,1629,-2299,56,-812,-2075,-274,-363,-2910,-1667,-578,-382,-267
New Mexico,2005,53,222,-3771,432,6479,741,462,0,-212,2541,264,675,-397,539,-144,175,263,-525,14,-60,-1040,-157,-20,581,153,175,-314,-155,421,-740,52,0,1051,850,38,1332,46,681,-124,0,-945,423,777,2681,-383,125,-97,487,303,166,-404
New York,2005,-1736,192,-3362,-199,-7511,-3357,-17080,-4169,-848,-73022,-23093,-1365,70,2425,626,825,-573,9,758,-1347,-6099,894,1588,-270,-1513,309,26,-583,-2516,-639,-37524,-1051,0,-19436,268,1075,-1058,-327,-19459,-416,-4886,-255,-2918,-6895,1231,-323,-6878,65,-509,1028,-20
North Carolina,2005,2346,275,-230,78,-1473,-2301,2557,-380,-1590,-275,1474,749,-147,1766,2392,-1419,-907,274,-917,1,4992,4354,-1236,188,378,922,-45,-65,-1243,1088,9096,-850,19436,0,27,4361,165,571,1124,1123,-2991,64,-2371,-1046,499,207,10930,-1146,-535,307,1088
North Dakota,2005,-80,-63,-605,-74,-14,-504,382,0,0,433,-456,-51,-144,-170,123,-539,277,-72,481,0,-10,-666,521,-1123,-27,220,-122,-117,-20,0,-139,-38,-268,-27,0,-342,-351,-1,-229,0,39,-329,129,509,-53,0,39,489,-33,566,-94
Ohio,2005,370,177,-2330,-155,3080,596,43,572,237,-22764,-1778,-267,-292,2516,-171,309,-538,-3234,-541,-915,308,586,1229,-307,-188,-1010,10,639,-1354,-514,396,-1332,-1075,-4361,342,0,-893,-658,3293,194,-1670,-105,-2759,-3442,1159,74,-3160,-1077,-885,635,169
Oklahoma,2005,-1470,33,681,-1925,5367,806,193,-163,4,2736,1259,695,840,4,396,747,-1443,537,658,38,1337,380,1698,-647,-381,-1928,-541,16,329,-81,65,-46,1058,-165,351,893,0,-776,766,86,-30,679,182,3406,767,-173,-413,-321,-133,-715,716
Oregon,2005,1142,676,203,634,39185,2427,174,-198,888,1194,-700,-413,990,1399,698,473,-193,632,218,405,884,-786,-1457,-96,147,-49,47,473,-1312,-191,-214,-681,327,-571,1,658,776,0,509,56,1086,-589,-484,-2153,-613,834,656,-2455,-122,-252,-913
Pennsylvania,2005,197,718,-3036,40,2165,-2911,548,-1426,652,-13635,-2026,-111,-526,-68,-1745,-317,467,179,1405,512,8449,1896,405,-373,27,262,-620,453,-2372,444,11756,124,19459,-1124,229,-3293,-766,-509,0,218,-1499,-127,-3054,-6171,1017,-440,838,-823,-1440,-1308,127
Rhode Island,2005,88,87,-156,0,142,-51,-2399,-487,5,-5866,-442,218,-332,-1827,4,-61,59,0,132,342,-79,-347,-60,-85,-292,-169,-46,0,693,156,-1629,0,416,-1123,0,-194,-86,-56,-218,0,194,0,11,-1446,-194,-90,216,237,-284,-116,98
South Carolina,2005,-172,-450,-195,-1571,1243,2,1011,10,-169,2497,3392,-334,104,615,602,-193,-1176,434,2232,-75,4798,3210,129,-79,-190,830,-489,185,150,-667,2299,945,4886,2991,-39,1670,30,-1086,1499,-194,0,147,344,573,489,2160,52,-1034,-788,497,287
South Dakota,2005,0,-70,-229,-337,-323,-471,0,0,403,200,70,330,163,225,-211,-243,53,245,-91,-68,411,-29,328,-809,65,-418,158,139,101,0,-56,-423,255,-64,329,105,-679,589,127,0,-147,0,269,996,-336,0,-133,630,202,-344,-236
Tennessee,2005,-491,428,-4015,107,8464,-890,324,-77,-232,6823,-1067,-338,-284,2162,2549,478,-1141,10,6263,-39,798,1082,2608,-1247,1672,-700,-82,-479,660,-27,812,-777,2918,2371,-129,2759,-182,484,3054,-11,-344,-269,0,5237,698,258,221,356,552,2158,416
Texas,2005,-490,1821,-5272,-10284,38747,853,598,633,787,6043,2680,183,-604,4429,-918,-130,4914,-1851,56194,492,-513,987,10869,782,174,1163,255,-784,-2121,-1159,2075,-2681,6895,1046,-509,3442,-3406,2153,6171,1446,-573,-996,-5237,0,3044,-46,225,1273,-661,1666,737
Utah,2005,-200,-741,-864,-216,6458,-257,343,-140,-513,1853,-467,-903,-2124,781,336,-490,568,279,163,47,-399,-190,152,595,53,437,426,-834,709,412,274,383,-1231,-499,53,-1159,-767,613,-1017,194,-489,336,-698,-3044,0,740,-2949,-1438,53,498,-784
Vermont,2005,-163,15,-223,0,-366,295,-80,0,105,41,-506,304,0,174,177,-214,0,12,-37,-5,48,569,-105,82,0,-291,12,0,-85,494,363,-125,323,-207,0,-74,173,-834,440,90,-2160,0,-258,46,-740,0,-884,66,98,-169,19
Virginia,2005,-422,1293,-1945,-968,285,338,1924,-617,558,-8154,-534,2263,1091,2851,-2065,1056,710,1031,704,978,-1292,1995,-164,1463,408,1920,-213,34,443,-361,2910,97,6878,-10930,-39,3160,413,-656,-838,-216,-52,133,-221,-225,2949,884,0,899,2062,-445,-252
Washington,2005,-1140,1445,1790,-381,17993,2814,318,329,-11,1131,-4060,2987,-452,4789,-47,1858,1291,-250,617,362,-645,2618,3,517,747,-2334,-174,278,57,330,1667,-487,-65,1146,-489,1077,321,2455,823,-237,1034,-630,-356,-1273,1438,-66,-899,0,398,-214,-339
